Versions,ASes,Addresses
ietf-01 draft-29 draft-28 draft-27,42,701940
draft-29 T051 Q050 Q046 Q043,4024,578198
draft-29 Q050 Q046 Q043,1102,470826
draft-29 draft-27,13,232893
mvfst-2 mvfst-1 mvfst-14 draft-29 draft-27,2225,43093
Q099 Q048 Q046 Q043 Q039 draft-28 T048,113,37735
Q050 Q046 Q043,23,21450
Q050 Q049 Q048 Q046 Q043 draft-27 draft-25 T050 4e303433,98,11685
draft-29 draft-28 draft-27,177,9438
Q050 Q049 Q048 Q046 Q043 draft-25 T050,75,9412
only_vn,8,6697
draft-29,69,4035
ietf-01 draft-29 T051 Q050 Q046 Q043,5,3830
draft-32 draft-29,204,846
draft-29 draft-27 T051 T050 Q050 Q046 Q043,32,754
ietf-01 draft-29 draft-30 draft-31 draft-32,60,657
draft-24 draft-23,58,496
Q099 Q050 Q049 Q048 Q046 Q043 draft-24 T050,19,353
Q099 Q050 Q049 Q048 Q046 Q043 draft-23 T050 T049 T048,11,177
draft-23,56,132
draft-27 draft-24 draft-23,36,101
draft-27,26,52
draft-29 draft-34 draft-32,14,28
draft-29 draft-30 draft-31 draft-32 ietf-01,16,24
draft-29 ietf-01 Q050 Q046 Q043,2,23
draft-24,7,22
draft-29 draft-30 draft-31 draft-32,10,16
quicgo-ff,6,9
ietf-01 msq-0 draft-29,1,8
Q099 Q050 Q049 Q048 Q046 Q043 draft-24 T050 T049 T048,1,6
draft-27 draft-25 T050 Q050 Q049 Q048 Q046 Q043,3,6
draft-25 draft-24 draft-23,4,4
Q050 Q049 Q048 Q046 Q043,3,3
draft-29 draft-27 draft-25 T051 T050 Q050 Q046 Q043,3,3
draft-28 draft-27,2,2
draft-28,2,2
Q050 Q049 Q048 Q046 Q043 draft-27 draft-25 T050,1,1
draft-29 Q050,1,1
ietf-01 netapp-34 draft-34 netapp-33 draft-33,1,1
Q050 Q049 Q048 Q046 Q043 T050,1,1
draft-29 draft-32,1,1
mvfst-14 mvfst-1 mvfst-2 draft-29 draft-27,1,1
draft-22,1,1
Q050 Q049 Q048 Q046 Q043 T050 4e303433 4e303436,1,1
